name,status,Loation,rack,role,device_type,primary_ip4,position
00DA55B6C622,Active,4586f7d3-d25f-4b6c-a59e-45df040161b9,,Other,2971ac41-02d1-43c8-84af-4c21189c3bf1,,
213-NAS,Active,9c550fe2-e6bb-42bf-b028-e57cdf81dfb1,B5,Storage,2971ac41-02d1-43c8-84af-4c21189c3bf1,,33
232-NAS,Active,9c550fe2-e6bb-42bf-b028-e57cdf81dfb1,B5,Storage,2971ac41-02d1-43c8-84af-4c21189c3bf1,,32
A1.-A9.1 (48 OM4),Active,9c550fe2-e6bb-42bf-b028-e57cdf81dfb1,A9,Tiroir Optique,ekivalan ekivalan:Tiroir-Optique-1U-LC-48OM4-24T,,41
A1.1-A9.1 (48 OM4),Active,9c550fe2-e6bb-42bf-b028-e57cdf81dfb1,A1,Tiroir Optique,ekivalan:Tiroir-Optique-1U-LC-48OM4-24T,,41
A3.1-A9.2 (48 OM4),Active,9c550fe2-e6bb-42bf-b028-e57cdf81dfb1,A9,Tiroir Optique,ekivalan:Tiroir-Optique-1U-LC-48OM4-24T,,40
A3.1-A9.2-2 (48 OM4),Active,9c550fe2-e6bb-42bf-b028-e57cdf81dfb1,A3,Tiroir Optique,ekivalan:Tiroir-Optique-1U-LC-48OM4-24T,,41
A5.1-A9.3 (48 OM4),Active,9c550fe2-e6bb-42bf-b028-e57cdf81dfb1,A9,Tiroir Optique,ekivalan:Tiroir-Optique-1U-LC-48OM4-24T,,39
A5.1-A9.3-2 (48 OM4),Active,9c550fe2-e6bb-42bf-b028-e57cdf81dfb1,A5,eTiroir Optique,ekivalan:Tiroir-Optique-1U-LC-48OM4-24T,,41
A7.1-A9.4 (48 OM4),Active,9c550fe2-e6bb-42bf-b028-e57cdf81dfb1,A7,Tiroir Optique,ekivalan:Tiroir-Optique-1U-LC-48OM4-24T,,41
A7.1-A9.4-2 (48 OM4),Active,9c550fe2-e6bb-42bf-b028-e57cdf81dfb1,A9,ekivalan Tiroir Optique,ekivalan:Tiroir-Optique-1U-LC-48OM4-24T,,38
A10.1--A11.1 (12 OM4),Active,9c550fe2-e6bb-42bf-b028-e57cdf81dfb1,A11,ekivalan Tiroir Optique,ekivalan:Tiroir-Optique-1U-LC-12OM4-24T,,42
A11.3-A7.2 (12 OS2 / 12 OM4),Active,9c550fe2-e6bb-42bf-b028-e57cdf81dfb1,A7,ekivalan Tiroir Optique,Tiroir-Optique-1U-LC-12OS2/12OM4-24T,,40
A11.3-A9.5 (12 OS2 / 12 OM4) A11.3-A7.2 (12 OS2 / 12 OM4),Active,9c550fe2-e6bb-42bf-b028-e57cdf81dfb1,A11,ekivalan Tiroir Optique,Tiroir-Optique-1U-LC-12OS2/12OM4-24T,,40
