label,side_a_device,side_a_name,side_a_type,side_b_device,side_b_name,side_b_type,status,type
CFO0255,PDU-A2-2,L1-C13-1,dcim.poweroutlet,Storage3-01-MGMT,PSU-Rouge,dcim.powerport,connected,
CFO0118,PDU-A2-2,L1-C13-2,dcim.poweroutlet,Storage3-01-SHELF1,PSU-Rouge,dcim.powerport,connected,
CFO0119,PDU-A2-2,L1-C13-4,dcim.poweroutlet,Storage3-01-SHELF3,PSU-Rouge,dcim.powerport,connected,
CFO0120,PDU-A2-2,L2-C13-1,dcim.poweroutlet,Storage4-01-MGMT,PSU-Rouge,dcim.powerport,connected,
CFO0198,PDU-A2-2,L2-C13-7,dcim.poweroutlet,Switch1,PSU-Rouge,dcim.powerport,connected,
CFO0016,PDU-A2-2,L2-C13-9,dcim.poweroutlet,NAJ-1001,PSU-Rouge,dcim.powerport,connected,
CFO0263,PDU-A2-2,L3-C13-1,dcim.poweroutlet,Storage3-01-SHELF2,PSU-Rouge,dcim.powerport,connected,
CFO0220,PDU-A2-2,L3-C13-2,dcim.poweroutlet,Switch2,PSU-Rouge,dcim.powerport,connected,
CFO0078,PDU-A2-1,L1-C13-2,dcim.poweroutlet,Storage3-01-MGMT,PSU-Bleue,dcim.powerport,connected,
CFO0181,PDU-A2-1,L1-C13-3,dcim.poweroutlet,Storage3-01-SHELF3,PSU-Bleue,dcim.powerport,connected,
CFO0070,PDU-A2-1,L2-C13-2,dcim.poweroutlet,Storage3-01-SHELF1,PSU-Bleue,dcim.powerport,connected,
CFO0178,PDU-A2-1,L2-C13-4,dcim.poweroutlet,Storage4-01-MGMT,PSU-Bleue,dcim.powerport,connected,
CFO0205,PDU-A2-1,L2-C13-8,dcim.poweroutlet,Switch1,PSU-Bleue,dcim.powerport,connected,
CFO0075,PDU-A2-1,L3-C13-2,dcim.poweroutlet,Storage3-01-SHELF2,PSU-Bleue,dcim.powerport,connected,
CFO0225,PDU-A2-1,L3-C13-6,dcim.poweroutlet,Switch2,PSU-Bleue,dcim.powerport,connected,
CFO0150,PDU-A2-1,L3-C13-12,dcim.poweroutlet,NAJ-1001,PSU-Bleue,dcim.powerport,connected,
CFO0090,PDU-A3-1,L1-C19-1,dcim.poweroutlet,UCS 1,PSU4-Bleue,dcim.powerport,connected,
CFO0045,PDU-A3-1,L2-C19-1,dcim.poweroutlet,UCS 1,PSU3-Bleue,dcim.powerport,connected,
CFO0040,PDU-A3-1,L2-C19-2,dcim.poweroutlet,UCS 2,PSU4-Bleue,dcim.powerport,connected,
CFO0043,PDU-A3-1,L3-C19-1,dcim.poweroutlet,UCS 2,PSU3-Bleue,dcim.powerport,connected,
CFO0127,PDU-A3-2,L1-C19-1,dcim.poweroutlet,UCS 1,PSU2-Rouge,dcim.powerport,connected,
CFO0094,PDU-A3-2,L2-C19-1,dcim.poweroutlet,UCS 2,PSU1-Rouge,dcim.powerport,connected,
CFO0121,PDU-A3-2,L2-C19-2,dcim.poweroutlet,UCS 2,PSU2-Rouge,dcim.powerport,connected,
CFO0100,PDU-A3-2,L3-C19-1,dcim.poweroutlet,UCS 1,PSU1-Rouge,dcim.powerport,connected,
CFO0185,PDU-A4-1,L1-C13-2,dcim.poweroutlet,USC-HX240-1,PSU-Bleue,dcim.powerport,connected,
CFO0174,PDU-A4-1,L1-C13-4,dcim.poweroutlet,USC-HX240-3,PSU-Bleue,dcim.powerport,connected,
CFO0182,PDU-A4-1,L1-C13-8,dcim.poweroutlet,UCS-C240-1,PSU-Bleue,dcim.powerport,connected,
CFO0183,PDU-A4-1,L2-C13-1,dcim.poweroutlet,UCS-C240-2,PSU-Bleue,dcim.powerport,connected,
CFO0179,PDU-A4-1,L2-C13-2,dcim.poweroutlet,UCS-C240-3,PSU-Bleue,dcim.powerport,connected,
CFO0068,PDU-A4-1,L2-C13-4,dcim.poweroutlet,UCS-FI6454-2,PSU-Bleue,dcim.powerport,connected,
CFO0073,PDU-A4-1,L2-C13-10,dcim.poweroutlet,UCS-FI6454-1,PSU-Bleue,dcim.powerport,connected,
CFO0076,PDU-A4-1,L3-C13-2,dcim.poweroutlet,USC-HX240-2,PSU-Bleue,dcim.powerport,connected,
CFO0253,PDU-A4-2,L1-C13-1,dcim.poweroutlet,USC-HX240-1,PSU-Rouge,dcim.powerport,connected,
CFO0115,PDU-A4-2,L1-C13-3,dcim.poweroutlet,UCS-C240-1,PSU-Rouge,dcim.powerport,connected,
CFO0252,PDU-A4-2,L2-C13-1,dcim.poweroutlet,USC-HX240-3,PSU-Rouge,dcim.powerport,connected,
CFO0103,PDU-A4-2,L2-C13-2,dcim.poweroutlet,UCS-C240-2,PSU-Rouge,dcim.powerport,connected,
CFO0244,PDU-A4-2,L2-C13-3,dcim.poweroutlet,UCS-C240-3,PSU-Rouge,dcim.powerport,connected,
CFO0258,PDU-A4-2,L3-C13-1,dcim.poweroutlet,UCS-FI6454-2,PSU-Rouge,dcim.powerport,connected,
CFO0262,PDU-A4-2,L3-C13-2,dcim.poweroutlet,USC-HX240-2,PSU-Rouge,dcim.powerport,connected,
