name_slug
APC,apc
Alcatel,alcatel
Alcatel-Lucent,alcatel-lucent
Allied Telesis,allied-telesis
Apple,apple
Aruba,aruba
Aten,aten
Avocent,avocent
BayNetwork,baynetwork
Buffalo,buffalo
Bull,bull
Ciena,ciena
Cisco-ap,access-points
Cisco-switch,cisco-switch
Cisco-wlc,wlc-server
Codian,codian
Coriant,coriant
Dell,dell
Digi,digi
EliteDesk,elitedesk
Eltek,eltek
Fortinet,fortinet
Fujitsu,fujitsu
General,general
GrandStream,grandstream
HP,hp
Huawey,huawey
IBM,ibm
IDIL,idil
Itas,itas
KVM Switch,kvm-switch
Keopsys,keopsys
Lacie,lacie
Lenovo,lenovo
Mellanox,mellanox
Microsemi,microsemi
NO_MANUFACTURER,no-manufacturer
Neo,neo
NetApp,netapp
Netgear,netgear
Nortel,nortel
Numeris,numeris
Nvidia,nvidia
OneAccess,oneaccess
Orange,orange
Paloalto,paloalto
Philips,philips
Quanda Computer,quanda-computer
R7w,r7w
Rad,rad
Radius,radius-server
Raspberry,raspberry
StarOos,staroos
SuperMicro,supermicro
Synology,synology
TPLink,tplink
ThinkSystem,thinksystem
VPN,vpn-server
Vertiv,vertiv
WD,wd
cisco,cisco
ekivalan,ekivalan
