name,device,label,type,color,power_port
L1-C19-1,PDU-A1-1,Prise C19 - 1,iec-60320-c19,2196f3,NEMA L21-30P
L1-C19-2,PDU-A1-1,Prise C19 - 2,iec-60320-c19,2196f3,NEMA L21-30P
L2-C19-1,PDU-A1-1,Prise C19 - 3,iec-60320-c19,111111,NEMA L21-30P
L2-C19-2,PDU-A1-1,Prise C19 - 4,iec-60320-c19,2196f3,NEMA L21-30P
L3-C19-1,PDU-A1-1,Prise C19 - 5,iec-60320-c19,2196f3,NEMA L21-30P
L3-C19-2,PDU-A1-1,Prise C19 - 6,iec-60320-c19,2196f3,NEMA L21-30P
L1-C19-1,PDU-A1-2,Prise C19 - 1,iec-60320-c19,f44336,
L1-C19-2,PDU-A1-2,Prise C19 - 2,iec-60320-c19,f44336,
L2-C19-1,PDU-A1-2,Prise C19 - 3,iec-60320-c19,f44336,
L2-C19-2,PDU-A1-2,Prise C19 - 4,iec-60320-c19,f44336,
L3-C19-1,PDU-A1-2,Prise C19 - 5,iec-60320-c19,f44336,
L3-C19-2,PDU-A1-2,Prise C19 - 6,iec-60320-c19,f44336,
L1-C19-1,PDU-A2-1,Prise C19 - 1,iec-60320-c19,2196f3,NEMA L21-30P
L1-C19-2,PDU-A2-1,Prise C19 - 2,iec-60320-c19,2196f3,NEMA L21-30P
L2-C19-1,PDU-A2-1,Prise C19 - 3,iec-60320-c19,2196f3,NEMA L21-30P
L2-C19-2,PDU-A2-1,Prise C19 - 4,iec-60320-c19,111111,NEMA L21-30P
L3-C19-1,PDU-A2-1,Prise C19 - 5,iec-60320-c19,111111,NEMA L21-30P
L3-C19-2,PDU-A2-1,Prise C19 - 6,iec-60320-c19,2196f3,NEMA L21-30P
L1-C19-1,PDU-A2-2,Prise C19 - 1,iec-60320-c19,f44336,NEMA L21-30P
L1-C19-2,PDU-A2-2,Prise C19 - 2,iec-60320-c19,f44336,NEMA L21-30P
L2-C19-1,PDU-A2-2,Prise C19 - 3,iec-60320-c19,f44336,NEMA L21-30P
L2-C19-2,PDU-A2-2,Prise C19 - 4,iec-60320-c19,111111,NEMA L21-30P
L3-C19-1,PDU-A2-2,Prise C19 - 5,iec-60320-c19,111111,NEMA L21-30P
L3-C19-2,PDU-A2-2,Prise C19 - 6,iec-60320-c19,f44336,NEMA L21-30P
L1-C19-1,PDU-A3-1,Prise C19 - 1,iec-60320-c19,2196f3,NEMA L21-30P
L1-C19-2,PDU-A3-1,Prise C19 - 2,iec-60320-c19,2196f3,NEMA L21-30P
L2-C19-1,PDU-A3-1,Prise C19 - 3,iec-60320-c19,2196f3,NEMA L21-30P
L2-C19-2,PDU-A3-1,Prise C19 - 4,iec-60320-c19,2196f3,NEMA L21-30P
L3-C19-1,PDU-A3-1,Prise C19 - 5,iec-60320-c19,2196f3,NEMA L21-30P
L3-C19-2,PDU-A3-1,Prise C19 - 6,iec-60320-c19,2196f3,NEMA L21-30P
L1-C19-1,PDU-A3-2,Prise C19 - 1,iec-60320-c19,f44336,NEMA L21-30P
L1-C19-2,PDU-A3-2,Prise C19 - 2,iec-60320-c19,f44336,NEMA L21-30P
L2-C19-1,PDU-A3-2,Prise C19 - 3,iec-60320-c19,f44336,NEMA L21-30P
L2-C19-2,PDU-A3-2,Prise C19 - 4,iec-60320-c19,f44336,NEMA L21-30P
L3-C19-1,PDU-A3-2,Prise C19 - 5,iec-60320-c19,f44336,NEMA L21-30P
L3-C19-2,PDU-A3-2,Prise C19 - 6,iec-60320-c19,f44336,NEMA L21-30P
L1-C19-1,PDU-A4-1,Prise C19 - 1,iec-60320-c19,2196f3,NEMA L21-30P
L1-C19-2,PDU-A4-1,Prise C19 - 2,iec-60320-c19,2196f3,NEMA L21-30P
L2-C19-1,PDU-A4-1,Prise C19 - 3,iec-60320-c19,2196f3,NEMA L21-30P
L2-C19-2,PDU-A4-1,Prise C19 - 4,iec-60320-c19,2196f3,NEMA L21-30P
L3-C19-1,PDU-A4-1,Prise C19 - 5,iec-60320-c19,2196f3,NEMA L21-30P
L3-C19-2,PDU-A4-1,Prise C19 - 6,iec-60320-c19,2196f3,NEMA L21-30P
L1-C19-1,PDU-A4-2,Prise C19 - 1,iec-60320-c19,f44336,NEMA L21-30P
L1-C19-1,PDU-A5-1,Prise C19 - 1,iec-60320-c19,2196f3,NEMA L21-30P
L1-C19-2,PDU-A5-1,Prise C19 - 2,iec-60320-c19,2196f3,NEMA L21-30P
L2-C19-1,PDU-A5-1,Prise C19 - 3,iec-60320-c19,2196f3,NEMA L21-30P
