vid,name,Site,Groupe,prefix,Entité,status,Rôle,description,IDENTIFIANT,Groupe de locataires,Rôle Q-in-Q,SVLAN Q-in-Q,Commentaires,Étiquettes,L2VPN,Créé,Dernière mise à jour
1,default,,,,,Active,,default,1,,,,,,,2025-05-28T12:58:05.275589+00:00,2025-05-28T12:58:05.275600+00:00
2,VLAN_DSI,,,192.168.100.0/24,,Active,,Personnels DSI,2,,,,,,,2025-05-28T12:58:05.298804+00:00,2025-06-02T13:05:56.945192+00:00
3,VLAN_SI,,,172.16.0.0/16,,Active,,Serveurs DSI,3,,,,,,,2025-05-28T12:58:05.314428+00:00,2025-06-02T13:06:23.974015+00:00
4,VLAN_GI,,,172.17.0.0/20,,Active,,Génie Informatique,4,,,,,,,2025-05-28T12:58:05.344293+00:00,2025-06-02T13:05:30.171122+00:00
5,VLAN_CR,,,172.18.0.0/16,,Active,,Personnels CR/CI/CT,5,,,,,,,2025-05-28T12:58:05.360722+00:00,2025-06-02T13:06:55.076542+00:00
6,VLAN_BF,,,172.19.0.0/16,,Active,,Personnels BF,6,,,,,,,2025-05-28T12:58:05.377109+00:00,2025-06-02T13:07:38.504606+00:00
7,VLAN_ETU,,,172.25.0.0/16,,Active,,Etudiants Campus,7,,,,,,,2025-05-28T12:58:05.392657+00:00,2025-06-02T13:08:07.350689+00:00
8,VLAN_PG,,,172.21.0.0/16,,Active,,Personnels PG,8,,,,,,,2025-05-28T12:58:05.411383+00:00,2025-06-02T13:08:32.292722+00:00
9,VLAN_ADM,,,172.20.0.0/16,,Active,,Administration Réseau,9,,,,,,,2025-05-28T12:58:05.447957+00:00,2025-06-02T13:09:14.728593+00:00
10,VLAN_SME,,,172.22.0.0/16,,Active,,Service des Moyens de l'Enseignement (SME),10,,,,,,,2025-05-28T12:58:05.463531+00:00,2025-06-02T13:09:48.826199+00:00
11,VLAN_HZ_DSI,,,192.168.101.0/24,,Active,,Réseau Personnels DSI (Wifi),11,,,,,,,2025-05-28T12:58:05.479774+00:00,2025-06-02T13:10:09.137210+00:00
12,VLAN_GFC,,,192.168.131.0/24,,Active,,Gestion Financière et Comptable (GFC),12,,,,,,,2025-05-28T12:58:05.511759+00:00,2025-06-02T13:10:30.635198+00:00
13,VLAN_MARE_GAUDRY,,,172.26.0.0/20,,Active,,Résidence Mare Gaudry,13,,,,,,,2025-05-28T12:58:05.530171+00:00,2025-06-02T13:10:53.044182+00:00
14,VLAN_ROBERVAL,,,172.26.16.0/20,,Active,,Résidence Roberval,14,,,,,,,2025-05-28T12:58:05.555626+00:00,2025-06-02T13:11:11.645377+00:00
15,VLAN_GRAPPE,,,172.23.0.0/16,,Active,,Réseau Grappe,15,,,,,,,2025-05-28T12:58:05.574368+00:00,2025-06-02T13:11:38.012136+00:00
16,VLAN_VISIO,,,193.55.118.0/24,,Active,,Equipements de Visioconférence,16,,,,,,,2025-05-28T12:58:05.590986+00:00,2025-06-02T13:11:59.887695+00:00
17,VLAN_HZ_PERS,,,172.26.128.0/20,,Active,,Hertzien Personnel UTC,17,,,,,,,2025-05-28T12:58:05.612725+00:00,2025-06-02T13:12:20.820488+00:00
18,EDUROAM,,,172.26.144.0/20,,Active,,Réseau EDUROAM,18,,,,,,,2025-05-28T12:58:05.643451+00:00,2025-06-02T13:12:39.073309+00:00
19,VLAN_POM,,,172.26.32.0/20,,Active,,Résidence Alesc Danielle Pommery,19,,,,,,,2025-05-28T12:58:05.658590+00:00,2025-06-02T13:13:00.682648+00:00
20,VLAN_CTRL_ACCES,,,192.168.133.0/24,,Active,,Contrôle d'accès,20,,,,,,,2025-05-28T12:58:05.678955+00:00,2025-06-02T13:13:20.869166+00:00
21,VLAN_CROUS_PRIV,,,172.26.176.0/20,,Active,,CROUS Administratif Compiègne (CROUS-PRIV-NET),21,,,,,,,2025-05-28T12:58:05.714281+00:00,2025-06-02T13:13:49.133537+00:00
22,VLAN_VOICE,,,172.27.0.0/18,,Active,,Téléphonie sur IP,22,,,,,,,2025-05-28T12:58:05.750580+00:00,2025-06-02T13:14:09.843175+00:00
23,VLAN_EXT_ETU,,,172.26.48.0/20,,Active,,Etudiants Extérieurs (CROUS),23,,,,,,,2025-05-28T12:58:05.766431+00:00,2025-06-02T13:14:33.004431+00:00
